Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Jordan,115.7801255,121.3520897,108.7484525,111.6765317,112.7136022,108.0172492,103.7899712,106.3389914,114.5029156,115.6873854,115.7375358,113.0465409
Japan,228.7016706,232.9984081,234.9960968,233.3917127,239.5604159,244.008404,248.1021777,252.6811813,280.3549483,281.9455368,284.665258,275.5569422
Kazakhstan,33.9279351,32.21786692,32.26522128,41.88880408,42.15053622,35.77921851,33.66795126,30.66484237,35.2698169,35.85315222,33.05139818,31.9691168
Kenya,36.52651955,37.79339193,42.3012569,42.81938578,40.32761162,39.35198929,39.35983234,38.07048376,41.20258091,38.98878246,37.37993042,40.00668753
Kyrgyz Republic,31.72593129,34.03447732,31.09035458,33.25120009,34.43346496,36.45607733,35.84058138,35.20722039,44.59172172,43.40249499,43.47044982,
Cambodia,39.45192668,43.31728301,51.05677056,54.05998187,59.6772874,66.61430485,74.65059018,79.49570022,95.81711409,105.4023234,104.8171901,111.2070739
Kiribati,,,,,,,,,,,,
St. Kitts and Nevis,130.9197412,137.0629819,139.3577593,145.3458309,137.5793203,127.8186584,122.2648716,100.8485666,116.1300047,130.1442751,118.1171407,107.7919831
"Korea, Rep.",127.4652501,127.9831138,132.9064959,135.5456811,138.2977531,137.841483,142.2596611,151.3958148,164.8782634,173.7184024,173.8496083,174.5964895
Kuwait,60.63084073,65.64547726,72.63792485,99.32137368,107.1422534,100.4112399,91.37121945,88.13432355,102.6913211,80.93812071,68.49484208,77.5006455
Latin America & Caribbean (excluding high income),55.17160609,55.36979867,57.20390065,57.99627002,61.46639321,61.78471104,61.30300804,62.1487915,71.66154594,67.12520661,66.61470734,69.99956221
Lao PDR,,,,,,,,,,,,
